name,content,stars,upvote,time,location
freyr,比Sibyl进步一些些，但也没有好太多。原告律师的角色被塑造得非常片面，狡猾，强势，甚至刻意演得有点坏，太博取观众对主角的同情了，是全片最不喜欢的地方。小孩的部分，漏洞也挺多。整体挺平庸保守的，被评为金棕榈，再次失望了。这个世界有这么多优秀的女导演作品，戛纳为什么就是刻意不捧呢。Sandra还是那么棒，如果这部电影没有S的演技加持，只怕会更差，该拿奖的是Sandra吧！ps.刚看到Justine上台捍卫exception culturelle制度，“sans laquelle je ne serais pas là devant vous”…呵呵这句倒是说得很准确…,3,1336,2023/5/28,法国
松木梯子,没有哪一种生活能经受得住抽丝剥茧的审问与反刍。,5,11931,2023/10/15,湖北
貓の薛定谔🫧,整体过于冗长了，还以为是什么推理悬疑片，结果没有悬念没有反转甚至没有高潮，一直平淡的叙事，不过这样倒是挺贴近现实生活。全程好烦那个光头检察官，难道法国没有疑罪从无的原则吗？没有任何直接证据全靠间接猜，就是硬要指控你杀了人，实在是不太理解。三星半。,3,1143,2023/10/15,云南
FryourBalcony,1. 同意在任何一段关系里都不应该有一方迷失自我，并且也不应该把责任推到另一方身上。最重要的是在一开始就不要做出牺牲自己的决定。2.如果把片中夫妻处境对调，会发现丈夫的处境其实是现实中大部分的女性正在经历的困境，然而社会早已习惯这种对女性的无形压迫。当受压迫者变成男性，并且他为此自杀，所有人（包括观众）的第一反应都是-不可能。,4,13109,2023/10/16,加拿大
Anchorite1001,没啥好说，就很普通。然后，狗狗为了这个家真的承受了太多。,3,794,2023/6/15,澳大利亚
Ciciaego,应该给狗狗也颁发一个最佳演技奖！,4,9585,2023/10/1,加拿大
轩辕十四™,细思极恐的地方是男主早就决定自杀，并且在尝试失败后，处心积虑地以收集生活素材为借口录下不为人知夫妻生活最后一次爆裂争吵。一段婚姻里到底可以容纳多少隐痛，多少污垢，剽窃，出轨，甚至儿子四岁时出的车祸都不足以让男主自杀，更深层的原因是一个人的低自尊，自卑，不被认可的心理阴影像无法走出阴暗潮湿的隧道的长长噩梦，永不醒来且永无止尽。所以，让人毛骨悚然的地方是男主为何要自残自杀并嫁祸给枕边人。这个故事揭露出婚姻最残忍的一面，如何才能让婚姻里无人嫉妒？,4,8664,2023/10/20,贵州
ChrisKirk,生活的正义从来都与真相无关。,4,4358,2023/5/27,英国
亵渎电影,就算两个人之间本来还有爱情，经过这样的法庭审判，在过往的只言片语中寻找有罪的论证，爱情也会不复存在吧。审判结束之后，再回望丈夫的死亡，可能真的就只剩下怅然若失了。在“婚姻故事”这类题材的电影中，这一部没有让人恐婚，反而让人觉得婚姻本就是这样复杂，只有那些当下的瞬间可以定义两个人的关系。,4,3914,2023/10/16,河北
子戈,"同时在讲没人经得起如此细密的审视，但我们又往往会依靠这些带有强烈偏向的只言片语，去裁决别人的人生，无论是片中的法庭，还是互联网，都是如此；以及在讲，还原生活真相之不可能，无论动用怎样的媒介，录音、记忆、搬演推理、语言本身，都只是对生活近似的模仿，它最终抵达的不是客观真相，而只是在显影每个人的主观倾向。

对性别议题的展现也颇为精当，只用一场争吵戏，就基本讲清了男性自尊在面对一个独立女性时的脆弱和恼羞成怒。而且，这还不是一个典型的有毒男子，所以他的愤怒，只能用来自毁。

导演显然非常具有当下意识，而且有能力把多重议题举重若轻地揉进一个文本，双性恋、外来移民、有道德瑕疵的女性、选择比真相重要…当最后半盲男孩复述的对白，被配以死者生前的画面时，会发现，这又何尝不是一部元电影。",4,3099,2023/10/15,北京
粘粘,"3.5 后半段对小男孩这个角色极度厌恶，什么样的恶魔才会给唯一忠于自己的狗狗喂下12片阿司匹林做实验呢？
相对于庭审辩论，这片子更多的表达的应该是在长时间的“为家庭自我牺牲”之后的集中情绪爆发，组建家庭是需要双方在矛盾的事物上相互妥协，但人又多多少少是有些自私在里面的。",3,515,2023/8/13,澳大利亚
Lanita,#23NZIFF 4.5 剧本很强很现代，衬的99%业内男性创作者匮乏、老土又落伍。当司法体系建筑在偏见和歧视之上，站上法庭意味着你不仅要为自己没杀人辩护，你还要为你的性别和性向辩护，甚至要用你并不熟悉的语言。,5,3822,2023/8/25,新西兰
娉克,厉害到可以当叙事学教材，但远不止于此；更苦更深的婚姻故事，对漂移事实的决定决定生活还是创作,4,2890,2023/5/22,法国
April劈里啪啦,戛纳看的  巨好看 我超级喜欢 我觉得所有有过长期稳定relationship/经历过恐惧失败情绪低谷/对bias有体会的人都能深深的relate到,5,3586,2023/5/22,英国
倪永孝,这个故事需要两个半小时吗，对法语非母语的人来说是种煎熬，电影发明以来就要善用剪辑。,3,292,2023/10/25,四川
西楼尘,母亲的淤青是因为撞上婚姻的岛台，父亲的坠落是由于亲密关系的失衡。盲眼的孩子摸不准真相的胶布，要么接受母亲是婚姻关系里的怪物，要么承认父亲是呕出爱情药片的病患。当感情被送上法庭审判，当记忆被录成证供呈堂，这场赢的官司早没有了奖励。当孩子完整背出父亲的临别赠言，这场审判将永不会结束。,4,2941,2024/3/12,辽宁
居居棒,法fà国人为什么可以酒后开车？（地铁判官脸,3,324,2024/3/27,英国
momo,极优秀的视听手法。一种颠倒于大多数家庭的男女分工，选择这样安排很有巧思，安排女主双性恋的身份也像是一种创意性的加码。庆功宴上女主捧住律师脸颊的那一瞬我真的在握紧拳头祈祷千万不要亲上去，实在是太害怕前功尽弃毁于一旦了，还好我可以信任导演不会犯这种愚蠢的错误。女主打电话是以询问而非告知的语气问儿子今晚是否可以回家，看到这里是哪位东亚女儿轻轻破防了我不说😿,5,3554,2023/10/21,北京
嘟嘟熊之父,我心中的金棕榈和最佳女演员桑德拉·惠勒。从极小的切口进入叙事，逐渐如飓风般席卷所有，真相与谎言、公正与偏见、孤独与爱。充满战斗性的电影，强劲的情节线条被细腻的情感时刻缠绕，无论在任何层面都发出了最强音。,5,2880,2023/5/22,西班牙
Nein,对不起我好俗啊但是律师好帅根本是法国张震……,4,2801,2024/1/14,北京
